,idx,CULTURE
828,00828,
829,00829,
830,00830,
831,00831,
832,00832,
833,00833,
834,00834,
835,00835,
836,00836,
837,00837,
838,00838,
839,00839,
840,00840,
841,00841,
842,00842,
843,00843,
844,00844,
845,00845,
846,00846,
847,00847,
848,00848,
849,00849,
850,00850,1.0
851,00851,
852,00852,
853,00853,
854,00854,
855,00855,
856,00856,
857,00857,
858,00858,
859,00859,
860,00860,
861,00861,
862,00862,
863,00863,
864,00864,
865,00865,
866,00866,
867,00867,
868,00868,1.0
869,00869,
870,00870,
871,00871,
872,00872,
873,00873,
874,00874,
875,00875,
876,00876,
877,00877,
878,00878,
879,00879,1.0
880,00880,
881,00881,
882,00882,
883,00883,
884,00884,
885,00885,
886,00886,
887,00887,
888,00888,
889,00889,
890,00890,
891,00891,
892,00892,1.0
893,00893,
894,00894,
895,00895,1.0
896,00896,
897,00897,1.0
898,00898,
899,00899,
900,00900,
901,00901,
902,00902,1.0
903,00903,
904,00904,
905,00905,
906,00906,
907,00907,
908,00908,
909,00909,1.0
910,00910,
911,00911,
912,00912,0.0
913,00913,
914,00914,
915,00915,
916,00916,
917,00917,
918,00918,
919,00919,
920,00920,
921,00921,
922,00922,
923,00923,
924,00924,
925,00925,
926,00926,
927,00927,
928,00928,
929,00929,
930,00930,
931,00931,
932,00932,
933,00933,
934,00934,
935,00935,
936,00936,
937,00937,
938,00938,
939,00939,
940,00940,
941,00941,
942,00942,
943,00943,
944,00944,
945,00945,
946,00946,
947,00947,
948,00948,
949,00949,
950,00950,
951,00951,
952,00952,
953,00953,
954,00954,
955,00955,
956,00956,
957,00957,
958,00958,
959,00959,
960,00960,
961,00961,
962,00962,
963,00963,
964,00964,1.0
965,00965,
966,00966,
967,00967,
968,00968,1.0
969,00969,
970,00970,
971,00971,
972,00972,1.0
973,00973,
974,00974,
975,00975,1.0
976,00976,
977,00977,1.0
978,00978,
979,00979,
980,00980,1.0
981,00981,
982,00982,
983,00983,
984,00984,
985,00985,
986,00986,
987,00987,
988,00988,
989,00989,
990,00990,
991,00991,
992,00992,
993,00993,
994,00994,
995,00995,
996,00996,
997,00997,
998,00998,
999,00999,
1000,01000,
1001,01001,
1002,01002,
1003,01003,
1004,01004,
1005,01005,
1006,01006,
1007,01007,
1008,01008,
1009,01009,
1010,01010,
1011,01011,
1012,01012,
1013,01013,
1014,01014,
1015,01015,
1016,01016,
1017,01017,1.0
1018,01018,
1019,01019,
1020,01020,
1021,01021,
1022,01022,
1023,01023,
1024,01024,
1025,01025,
1026,01026,
1027,01027,
1028,01028,
1029,01029,1.0
1030,01030,
1031,01031,
1032,01032,1.0
1033,01033,
1034,01034,
1035,01035,
1036,01036,
1037,01037,
1038,01038,
1039,01039,
1040,01040,
1041,01041,1.0
1042,01042,
1043,01043,
1044,01044,
1045,01045,
1046,01046,
1047,01047,
1048,01048,
1049,01049,
1050,01050,
1051,01051,
1052,01052,
1053,01053,
1054,01054,1.0
1055,01055,
1056,01056,
1057,01057,
1058,01058,1.0
1059,01059,
1060,01060,
1061,01061,0.0
1062,01062,
1063,01063,
1064,01064,
1065,01065,
1066,01066,
1067,01067,1.0
1068,01068,
1069,01069,
1070,01070,
1071,01071,
1072,01072,
1073,01073,
1074,01074,
1075,01075,
1076,01076,
1077,01077,
1078,01078,
1079,01079,
1080,01080,1.0
1081,01081,
1082,01082,
1083,01083,
1084,01084,1.0
1085,01085,
1086,01086,
1087,01087,
1088,01088,
1089,01089,
1090,01090,1.0
1091,01091,
1092,01092,
1093,01093,1.0
1094,01094,1.0
1095,01095,
1096,01096,
1097,01097,
1098,01098,
1099,01099,
1100,01100,
1101,01101,
1102,01102,
1103,01103,
1104,01104,
1105,01105,
1106,01106,
1107,01107,
1108,01108,
1109,01109,
1110,01110,
1111,01111,
1112,01112,
1113,01113,
1114,01114,
1115,01115,
1116,01116,
1117,01117,
1118,01118,
1119,01119,
1120,01120,
1121,01121,
1122,01122,
1123,01123,
1124,01124,
1125,01125,
1126,01126,
1127,01127,
1128,01128,
1129,01129,
1130,01130,
1131,01131,
1132,01132,
1133,01133,
1134,01134,
1135,01135,
1136,01136,
1137,01137,
1138,01138,
1139,01139,
1140,01140,
1141,01141,
1142,01142,
1143,01143,
1144,01144,
1145,01145,
1146,01146,
1147,01147,
1148,01148,
1149,01149,
1150,01150,
1151,01151,
1152,01152,
1153,01153,
1154,01154,
1155,01155,
1156,01156,
1157,01157,
1158,01158,
1159,01159,
1160,01160,
1161,01161,
1162,01162,
1163,01163,
1164,01164,
1165,01165,
1166,01166,
1167,01167,
1168,01168,
1169,01169,
1170,01170,
1171,01171,
1172,01172,
1173,01173,
1174,01174,
1175,01175,
1176,01176,
1177,01177,
1178,01178,
1179,01179,
1180,01180,
1181,01181,
1182,01182,
1183,01183,
1184,01184,
1185,01185,
1186,01186,
1187,01187,
1188,01188,
1189,01189,
1190,01190,
1191,01191,
1192,01192,
1193,01193,
1194,01194,
1195,01195,
1196,01196,
1197,01197,
1198,01198,
1199,01199,
1200,01200,
1201,01201,
1202,01202,
1203,01203,
1204,01204,
1205,01205,
1206,01206,
1207,01207,
1208,01208,
1209,01209,
1210,01210,
1211,01211,
1212,01212,
1213,01213,
1214,01214,
1215,01215,
1216,01216,
1217,01217,
1218,01218,
1219,01219,
1220,01220,
1221,01221,
1222,01222,
1223,01223,
1224,01224,
1225,01225,
1226,01226,
1227,01227,
1228,01228,
1229,01229,
1230,01230,
1231,01231,
1232,01232,
1233,01233,
1234,01234,
1235,01235,
1236,01236,
1237,01237,
1238,01238,
1239,01239,
1240,01240,
1241,01241,
1242,01242,
1243,01243,
1244,01244,
1245,01245,
1246,01246,
1247,01247,0.0
1248,01248,1.0
1249,01249,1.0
1250,01250,1.0
1251,01251,1.0
1252,01252,1.0
1253,01253,1.0
1254,01254,1.0
1255,01255,1.0
1256,01256,1.0
1257,01257,1.0
1258,01258,1.0
1259,01259,1.0
1260,01260,1.0
1261,01261,1.0
1262,01262,1.0
1263,01263,1.0
1264,01264,1.0
1265,01265,1.0
1266,01266,1.0
1267,01267,1.0
1268,01268,1.0
1269,01269,1.0
1270,01270,1.0
1271,01271,1.0
1272,01272,1.0
1273,01273,1.0
1274,01274,1.0
1275,01275,1.0
1276,01276,1.0
1277,01277,1.0
1278,01278,1.0
1279,01279,1.0
1280,01280,1.0
1281,01281,1.0
1282,01282,1.0
1283,01283,1.0
1284,01284,1.0
1285,01285,1.0
1286,01286,1.0
1287,01287,1.0
1288,01288,1.0
1289,01289,1.0
1290,01290,1.0
1291,01291,1.0
1292,01292,1.0
1293,01293,1.0
1294,01294,1.0
1295,01295,1.0
1296,01296,1.0
1297,01297,1.0
1298,01298,1.0
1299,01299,1.0
1300,01300,1.0
1301,01301,1.0
1302,01302,1.0
1303,01303,1.0
1304,01304,1.0
1305,01305,1.0
1306,01306,1.0
1307,01307,1.0
1308,01308,1.0
1309,01309,1.0
1310,01310,1.0
1311,01311,1.0
1312,01312,
1313,01313,
1314,01314,
1315,01315,
1316,01316,
1317,01317,
1318,01318,
1319,01319,
1320,01320,
1321,01321,
1322,01322,
1323,01323,
1324,01324,
1325,01325,
1326,01326,
1327,01327,
1328,01328,
1329,01329,
1330,01330,
1331,01331,
1332,01332,
1333,01333,
1334,01334,
1335,01335,
1336,01336,
1337,01337,
1338,01338,
1339,01339,
1340,01340,
1341,01341,
1342,01342,
1343,01343,
1344,01344,
1345,01345,
1346,01346,
1347,01347,1.0
1348,01348,0.0
1349,01349,1.0
1350,01350,0.0
1351,01351,0.0
1352,01352,0.0
1353,01353,0.0
1354,01354,1.0
1355,01355,0.0
1356,01356,0.0
1357,01357,0.0
1358,01358,
1359,01359,
1360,01360,
1361,01361,
1362,01362,
1363,01363,
1364,01364,
1365,01365,
1366,01366,
1367,01367,
1368,01368,
1369,01369,
1370,01370,
1371,01371,
1372,01372,
1373,01373,
1374,01374,
1375,01375,
1376,01376,
1377,01377,
1378,01378,
1379,01379,
1380,01380,
1381,01381,
1382,01382,
1383,01383,
1384,01384,
1385,01385,
1386,01386,
1387,01387,
1388,01388,
1389,01389,
1390,01390,
1391,01391,
1392,01392,
1393,01393,
1394,01394,
1395,01395,
1396,01396,
1397,01397,
1398,01398,
1399,01399,
1400,01400,
1401,01401,
1402,01402,
1403,01403,
1404,01404,
1405,01405,
1406,01406,
1407,01407,
1408,01408,
1409,01409,
1410,01410,
1411,01411,
1412,01412,
1413,01413,
1414,01414,
1415,01415,
1416,01416,
1417,01417,
1418,01418,
1419,01419,
1420,01420,
1421,01421,
1422,01422,
1423,01423,
1424,01424,
1425,01425,
1426,01426,
1427,01427,
1428,01428,
1429,01429,
1430,01430,
1431,01431,
1432,01432,
1433,01433,
1434,01434,
1435,01435,
1436,01436,
1437,01437,
1438,01438,
1439,01439,
1440,01440,
1441,01441,
1442,01442,
1443,01443,
1444,01444,
1445,01445,
1446,01446,
1447,01447,
1448,01448,
1449,01449,
1450,01450,
1451,01451,
1452,01452,
1453,01453,
1454,01454,
1455,01455,
1456,01456,
1457,01457,
1458,01458,
1459,01459,
1460,01460,
1461,01461,
1462,01462,
1463,01463,
1464,01464,
1465,01465,
1466,01466,
1467,01467,
1468,01468,
1469,01469,
1470,01470,
1471,01471,
1472,01472,
1473,01473,
1474,01474,
1475,01475,
1476,01476,
1477,01477,
1478,01478,
1479,01479,
1480,01480,
1481,01481,
1482,01482,
1483,01483,
1484,01484,
1485,01485,
1486,01486,
1487,01487,
1488,01488,
1489,01489,
1490,01490,
1491,01491,
1492,01492,
1493,01493,
1494,01494,
1495,01495,
1496,01496,
1497,01497,
1498,01498,
1499,01499,
1500,01500,
1501,01501,
1502,01502,
1503,01503,
1504,01504,
1505,01505,
1506,01506,
1507,01507,
1508,01508,
1509,01509,
1510,01510,
1511,01511,
1512,01512,
1513,01513,
1514,01514,
1515,01515,
1516,01516,
1517,01517,
1518,01518,
1519,01519,
1520,01520,
1521,01521,
1522,01522,
1523,01523,
1524,01524,
1525,01525,
1526,01526,
1527,01527,
1528,01528,
1529,01529,
1530,01530,
1531,01531,
1532,01532,
1533,01533,
1534,01534,
1535,01535,
1536,01536,
1537,01537,
1538,01538,
1539,01539,
1540,01540,
1541,01541,
1542,01542,
1543,01543,
1544,01544,
1545,01545,
1546,01546,
1547,01547,
1548,01548,
1549,01549,
1550,01550,
1551,01551,
1552,01552,
1553,01553,
1554,01554,
1555,01555,
1556,01556,
1557,01557,
1558,01558,
1559,01559,
1560,01560,
1561,01561,
1562,01562,
1563,01563,
1564,01564,
1565,01565,
1566,01566,
1567,01567,
1568,01568,
1569,01569,
1570,01570,
1571,01571,
1572,01572,
1573,01573,
1574,01574,
1575,01575,
1576,01576,
1577,01577,
1578,01578,
1579,01579,
1580,01580,
1581,01581,
1582,01582,
1583,01583,
1584,01584,
1585,01585,
1586,01586,
1587,01587,
1588,01588,
1589,01589,
1590,01590,
1591,01591,
1592,01592,
1593,01593,
1594,01594,
1595,01595,
1596,01596,
1597,01597,
1598,01598,
1599,01599,
1600,01600,
1601,01601,
1602,01602,
1603,01603,
1604,01604,
1605,01605,
1606,01606,
1607,01607,
1608,01608,
1609,01609,
1610,01610,
1611,01611,
1612,01612,
1613,01613,
1614,01614,
1615,01615,
1616,01616,
1617,01617,
1618,01618,
1619,01619,
1620,01620,
1621,01621,
1622,01622,
1623,01623,
1624,01624,
1625,01625,
1626,01626,
1627,01627,
1628,01628,
1629,01629,
1630,01630,
1631,01631,
1632,01632,
1633,01633,
1634,01634,
1635,01635,
1636,01636,
1637,01637,
1638,01638,
1639,01639,
1640,01640,
1641,01641,
1642,01642,
1643,01643,
1644,01644,
1645,01645,
1646,01646,
1647,01647,
1648,01648,
1649,01649,
1650,01650,
1651,01651,
1652,01652,
1653,01653,
1654,01654,
1655,01655,
1656,01656,
1657,01657,
1658,01658,
1659,01659,
1660,01660,
1661,01661,
1662,01662,
1663,01663,
1664,01664,
1665,01665,
1666,01666,
1667,01667,
1668,01668,
1669,01669,
1670,01670,
1671,01671,
1672,01672,
1673,01673,
1674,01674,
1675,01675,
1676,01676,
1677,01677,
1678,01678,
1679,01679,
1680,01680,
1681,01681,
1682,01682,
1683,01683,
1684,01684,
1685,01685,
1686,01686,
1687,01687,
1688,01688,
1689,01689,
1690,01690,
1691,01691,
1692,01692,
1693,01693,
1694,01694,
1695,01695,
1696,01696,
1697,01697,
1698,01698,
1699,01699,
1700,01700,
1701,01701,
1702,01702,
1703,01703,
1704,01704,
1705,01705,
1706,01706,
1707,01707,
1708,01708,
1709,01709,
1710,01710,
1711,01711,
1712,01712,
1713,01713,
1714,01714,
1715,01715,
1716,01716,
1717,01717,
1718,01718,
1719,01719,
1720,01720,
1721,01721,
1722,01722,
1723,01723,
1724,01724,
1725,01725,
1726,01726,
1727,01727,
1728,01728,
1729,01729,
1730,01730,
1731,01731,
1732,01732,
1733,01733,
1734,01734,
1735,01735,
1736,01736,
1737,01737,
1738,01738,
1739,01739,
1740,01740,
1741,01741,
1742,01742,
1743,01743,
1744,01744,
1745,01745,
1746,01746,
1747,01747,
1748,01748,
1749,01749,
1750,01750,
1751,01751,
1752,01752,
1753,01753,
1754,01754,
1755,01755,
1756,01756,
1757,01757,
1758,01758,
1759,01759,
1760,01760,
1761,01761,
1762,01762,
1763,01763,
1764,01764,
1765,01765,
1766,01766,
1767,01767,
1768,01768,
1769,01769,
1770,01770,
1771,01771,
1772,01772,
1773,01773,
1774,01774,
1775,01775,
1776,01776,
1777,01777,
1778,01778,
1779,01779,
1780,01780,
1781,01781,
1782,01782,
1783,01783,
1784,01784,
1785,01785,
1786,01786,
1787,01787,
1788,01788,
1789,01789,
1790,01790,
1791,01791,
1792,01792,
1793,01793,
1794,01794,
1795,01795,
1796,01796,
1797,01797,
1798,01798,
1799,01799,
1800,01800,
1801,01801,
1802,01802,
1803,01803,
1804,01804,
1805,01805,
1806,01806,
1807,01807,
1808,01808,
1809,01809,
1810,01810,
1811,01811,
1812,01812,
1813,01813,
1814,01814,
1815,01815,
1816,01816,
1817,01817,
1818,01818,
1819,01819,
1820,01820,
1821,01821,
1822,01822,
1823,01823,
1824,01824,
1825,01825,
1826,01826,
1827,01827,
1828,01828,
1829,01829,
1830,01830,
1831,01831,
1832,01832,
1833,01833,
1834,01834,
1835,01835,
1836,01836,
1837,01837,
1838,01838,
1839,01839,
1840,01840,
1841,01841,
1842,01842,
1843,01843,
1844,01844,
1845,01845,
1846,01846,
1847,01847,
1848,01848,
1849,01849,
1850,01850,
1851,01851,
1852,01852,
1853,01853,
1854,01854,
1855,01855,
1856,01856,
1857,01857,
1858,01858,
1859,01859,
1860,01860,
1861,01861,
1862,01862,
1863,01863,
1864,01864,
1865,01865,
1866,01866,
1867,01867,
1868,01868,
1869,01869,
1870,01870,
1871,01871,
1872,01872,
1873,01873,
1874,01874,
1875,01875,
1876,01876,
1877,01877,
1878,01878,
1879,01879,
1880,01880,
1881,01881,
1882,01882,
1883,01883,
1884,01884,
1885,01885,
1886,01886,
1887,01887,
1888,01888,
1889,01889,
1890,01890,
1891,01891,
1892,01892,
1893,01893,
1894,01894,
1895,01895,
1896,01896,
1897,01897,
1898,01898,
1899,01899,
1900,01900,
1901,01901,
1902,01902,
1903,01903,
1904,01904,
1905,01905,
1906,01906,
1907,01907,
1908,01908,
1909,01909,
1910,01910,
1911,01911,
1912,01912,
1913,01913,
1914,01914,
1915,01915,
1916,01916,
1917,01917,
1918,01918,
1919,01919,
1920,01920,
1921,01921,
1922,01922,
1923,01923,
1924,01924,
1925,01925,
1926,01926,
1927,01927,
1928,01928,
1929,01929,
1930,01930,
1931,01931,
1932,01932,
1933,01933,
1934,01934,
1935,01935,
1936,01936,
1937,01937,
1938,01938,
1939,01939,
1940,01940,
1941,01941,
1942,01942,
1943,01943,
1944,01944,
1945,01945,
1946,01946,
1947,01947,
1948,01948,
1949,01949,
1950,01950,
1951,01951,
1952,01952,
1953,01953,
1954,01954,
1955,01955,
1956,01956,
1957,01957,
1958,01958,
1959,01959,
1960,01960,
1961,01961,
1962,01962,
1963,01963,
1964,01964,
1965,01965,
1966,01966,
1967,01967,
1968,01968,
1969,01969,
1970,01970,
1971,01971,
1972,01972,
1973,01973,
1974,01974,
1975,01975,
1976,01976,
1977,01977,
1978,01978,
1979,01979,
1980,01980,
1981,01981,
1982,01982,
1983,01983,
1984,01984,
1985,01985,
1986,01986,
1987,01987,
